account_id,account_name,account_cohort_year
ACCT_0001,Apex Ventures,FY20
ACCT_0002,Aurora Cloud,FY20
ACCT_0003,Axiom Insights,FY20
ACCT_0004,Bridge Labs,FY20
ACCT_0005,Catalyst Cyber,FY20
ACCT_0006,Beacon Security,FY20
ACCT_0007,Everest Development,FY20
ACCT_0008,Aurora Digital,FY20
ACCT_0009,Nexus Consulting,FY20
ACCT_0010,Core Optimization,FY20
ACCT_0011,Core Security,FY20
ACCT_0012,Frontier AI,FY20
ACCT_0013,Quantum Holdings,FY20
ACCT_0014,Zenith Platforms,FY20
ACCT_0015,Apex Engineering,FY20
ACCT_0016,Momentum Applications,FY20
ACCT_0017,Continuum Systems,FY20
ACCT_0018,Titan Technologies,FY20
ACCT_0019,Vanguard Consulting,FY20
ACCT_0020,Radiant Services,FY20
ACCT_0021,Frontier Security,FY20
ACCT_0022,Fusion Cloud,FY20
ACCT_0023,Orion Innovation,FY20
ACCT_0024,Altitude Holdings,FY20
ACCT_0025,Continuum Engineering,FY20
ACCT_0026,Nexus AI,FY20
ACCT_0027,Keystone Digital,FY20
ACCT_0028,Orion Data,FY20
ACCT_0029,Orbit Development,FY20
ACCT_0030,Fusion Digital,FY20
ACCT_0031,Element Applications,FY20
ACCT_0032,Vector Systems,FY20
ACCT_0033,Altitude Frameworks,FY20
ACCT_0034,Peak Research,FY20
ACCT_0035,Velocity Digital,FY20
ACCT_0036,Elevate Insights,FY20
ACCT_0037,Horizon Holdings,FY20
ACCT_0038,Titan Labs,FY20
ACCT_0039,Pulse Digital,FY20
ACCT_0040,Continuum Solutions,FY20
ACCT_0041,Stratos Strategy,FY20
ACCT_0042,Radiant Data,FY20
ACCT_0043,Orion Cloud,FY20
ACCT_0044,Keystone Engineering,FY20
ACCT_0045,Axis Platforms,FY20
ACCT_0046,Summit Holdings,FY20
ACCT_0047,Horizon Analytics,FY20
ACCT_0048,Atlas Ventures,FY20
ACCT_0049,Everest Ventures,FY20
ACCT_0050,Signal Security,FY20
ACCT_0051,Atlas Industries,FY20
ACCT_0052,Prime Automation,FY20
ACCT_0053,Everest Labs,FY20
ACCT_0054,Everest Research,FY20
ACCT_0055,Nova Insights,FY20
ACCT_0056,Vector Engineering,FY20
ACCT_0057,Orion Solutions,FY20
ACCT_0058,Aurora Platforms,FY20
ACCT_0059,Keystone Analytics,FY20
ACCT_0060,Continuum Infrastructure,FY20
ACCT_0061,Axis Integration,FY20
ACCT_0062,Continuum Enterprises,FY20
ACCT_0063,Everest Infrastructure,FY20
ACCT_0064,Nimbus Cyber,FY20
ACCT_0065,Pulse Cyber,FY20
ACCT_0066,Keystone Cloud,FY20
ACCT_0067,Pulse Intelligence,FY20
ACCT_0068,Axis Automation,FY20
ACCT_0069,Anchor Dynamics,FY20
ACCT_0070,Nexus Security,FY20
ACCT_0071,Beacon Holdings,FY20
ACCT_0072,Atlas Applications,FY20
ACCT_0073,Vertex Networks,FY20
ACCT_0074,Nova Architecture,FY20
ACCT_0075,Peak Solutions,FY20
ACCT_0076,Beacon Automation,FY20
ACCT_0077,Horizon Integration,FY20
ACCT_0078,Radiant Insights,FY20
ACCT_0079,Momentum Innovation,FY20
ACCT_0080,Horizon Insights,FY20
ACCT_0081,Stratos Automation,FY20
ACCT_0082,Radiant Frameworks,FY20
ACCT_0083,Signal Enterprises,FY20
ACCT_0084,Anchor Software,FY20
ACCT_0085,Helios Automation,FY20
ACCT_0086,Nimbus Integration,FY20
ACCT_0087,Fusion Analytics,FY20
ACCT_0088,Atlas Consulting,FY20
ACCT_0089,Apex Solutions,FY20
ACCT_0090,Core Analytics,FY20
ACCT_0091,Beacon Systems,FY20
ACCT_0092,Prime Global,FY20
ACCT_0093,Pulse Frameworks,FY20
ACCT_0094,Summit Engineering,FY20
ACCT_0095,Beacon Ventures,FY20
ACCT_0096,Helios Innovation,FY20
ACCT_0097,Anchor Optimization,FY20
ACCT_0098,Bridge Consulting,FY20
ACCT_0099,Radiant Compute,FY20
ACCT_0100,Signal Consulting,FY20
